Train Dataset,Train View,Train Model,Test Dataset,Test View,Accuracy,F1,ROC AUC,True Positives,False Positives,True Negatives,False Negatives
pklot,all_sunny,shufflenet,pklot,ufpr05_cloudy,0.9994734070563455,0.9995558845299778,0.9995560816809708,3376,0,2318,3
pklot,puc,shufflenet,pklot,puc_sunny,0.999472143576947,0.9994306123505358,0.999465807395077,9654,5,11174,6
pklot,puc_sunny,shufflenet,pklot,puc_sunny,0.999472143576947,0.9994306123505358,0.999465807395077,9654,5,11174,6
pklot,all_sunny,mobilenet,pklot,ufpr04,0.9994331601322627,0.9993542832544124,0.99935469993547,4643,0,5936,6
pklot,all_sunny,shufflenet,pklot,puc_sunny,0.9994241566293968,0.99937881768299,0.9994140475607085,9653,5,11174,7
pklot,puc,mobilenet,pklot,puc_sunny,0.9994241566293968,0.99937881768299,0.9994140475607085,9653,5,11174,7
pklot,puc_sunny,mobilenet,pklot,puc_sunny,0.9994241566293968,0.9993786246893124,0.9993929482168299,9650,2,11177,10
pklot,all_sunny,shufflenet,pklot,puc,0.999387124908658,0.9993359554579353,0.9993944343770864,19564,16,22833,10
pklot,puc_sunny,shufflenet,pklot,puc,0.9993399806708625,0.9992848751085457,0.9993470074922427,19563,17,22832,11
pklot,ufpr04_sunny,shufflenet,pklot,ufpr04,0.999338686820973,0.9992470689469721,0.9993171045391902,4645,3,5933,4
pklot,all_cloudy,shufflenet,pklot,all_cloudy,0.9993017369293882,0.9990884229717412,0.9991536308239279,8768,3,14130,13
pklot,ufpr05_sunny,mobilenet,pklot,ufpr05_cloudy,0.9992978760751272,0.9994077583654131,0.999408108907961,3375,0,2318,4
pklot,ufpr05_sunny,shufflenet,pklot,ufpr05_cloudy,0.9992978760751272,0.9994079336885732,0.9993403784885635,3376,1,2317,3
pklot,puc_sunny,mobilenet,pklot,puc,0.9992692643141692,0.9992079511484708,0.9992484074648386,19554,11,22838,20
pklot,all_cloudy,mobilenet,pklot,ufpr04_cloudy,0.9992383853769993,0.9987228607918263,0.9992124419690029,1173,2,2763,1
pklot,ufpr04,shufflenet,pklot,ufpr04_cloudy,0.9992383853769993,0.9987217724755006,0.9989673794172101,1172,1,2764,2
pklot,all,shufflenet,pklot,all_sunny,0.9992365995964884,0.999254764186096,0.9992428594677868,18772,9,17878,19
pklot,all_sunny,shufflenet,pklot,all_cloudy,0.9992144540455616,0.9989742420788694,0.999018185648173,8765,2,14131,16
pklot,all_rainy,shufflenet,pklot,puc_cloudy,0.9991715619822262,0.9986949816111045,0.9992662214328505,4209,9,9058,2
pklot,ufpr04_sunny,mobilenet,pklot,ufpr04_sunny,0.9991452991452991,0.9992301770592764,0.9991157652425638,3245,3,2600,2
pklot,all_cloudy,shufflenet,pklot,ufpr05_cloudy,0.9991223450939091,0.999259807549963,0.9991924057155537,3375,1,2317,4
pklot,all_sunny,mobilenet,pklot,ufpr05_cloudy,0.9991223450939091,0.999259807549963,0.9991924057155537,3375,1,2317,4
pklot,all,shufflenet,pklot,all,0.9990659040611617,0.9990341896851458,0.9990578695701595,33618,25,35903,40
pklot,all,mobilenet,pklot,all_sunny,0.9990457494956104,0.9990686287554219,0.999047186632767,18772,16,17871,19
pklot,puc_rainy,mobilenet,pklot,puc_cloudy,0.9990209368880856,0.9984577055403963,0.99909233975929,4208,10,9057,3
pklot,puc_rainy,shufflenet,pklot,puc_cloudy,0.9990209368880856,0.998458071403155,0.9991559313699852,4209,11,9056,2
pklot,ufpr05_sunny,shufflenet,pklot,ufpr05_sunny,0.9989988987886675,0.9991249562478124,0.9990662499451337,5709,2,4270,8
pklot,all,mobilenet,pklot,ufpr04_sunny,0.9989743589743589,0.9990755007704161,0.9990379724610003,3242,1,2602,5
pklot,all_sunny,shufflenet,pklot,ufpr05,0.9989142891609868,0.9990685158352308,0.9989659023357577,9653,5,6908,13
pklot,ufpr05_sunny,shufflenet,pklot,ufpr05,0.9989142891609868,0.9990685158352308,0.9989659023357577,9653,5,6908,13
pklot,all,shufflenet,pklot,ufpr05_sunny,0.9988987886675343,0.9990377044877964,0.9989196260053628,5710,4,4268,7
pklot,all,mobilenet,pklot,ufpr05_rainy,0.9988801791713325,0.9991796554552912,0.9991803278688525,609,0,283,1
pklot,all_rainy,shufflenet,pklot,ufpr05_rainy,0.9988801791713325,0.9991796554552912,0.9991803278688525,609,0,283,1
pklot,ufpr05_rainy,shufflenet,pklot,ufpr05_rainy,0.9988801791713325,0.9991796554552912,0.9991803278688525,609,0,283,1
pklot,all_sunny,shufflenet,pklot,all_sunny,0.9988548993947325,0.9988820867713601,0.9988622720326381,18764,15,17872,27
pklot,all,mobilenet,pklot,all,0.9988216020463886,0.9987816474503745,0.9988147151818113,33611,35,35893,47
pklot,all_sunny,shufflenet,pklot,ufpr04_sunny,0.9988034188034188,0.9989209187605981,0.9989220819217739,3240,0,2603,7
pklot,ufpr05,shufflenet,pklot,ufpr05_sunny,0.998798678546401,0.9989504985132063,0.9987730020655918,5711,6,4266,6
pklot,ufpr05_sunny,mobilenet,pklot,ufpr05,0.9987936546233187,0.9989646961383166,0.9989036465121518,9649,3,6910,17
pklot,ufpr04,mobilenet,pklot,ufpr04,0.9987718469532357,0.9986020002150768,0.9987650772939606,4643,7,5929,6
pklot,all_cloudy,mobilenet,pklot,ufpr05_cloudy,0.9987712831314727,0.998963423663557,0.9988964601695342,3373,1,2317,6
pklot,ufpr05_cloudy,shufflenet,pklot,ufpr05_cloudy,0.9987712831314727,0.9989631165753222,0.9989641905889317,3372,0,2318,7
pklot,ufpr05,mobilenet,pklot,ufpr05_cloudy,0.9987712831314727,0.9989643438378458,0.9986932689113417,3376,4,2314,3
pklot,all_cloudy,shufflenet,pklot,ufpr04_rainy,0.9987437185929648,0.9979550102249489,0.9979591836734694,244,0,551,1
pklot,all_sunny,shufflenet,pklot,ufpr04_rainy,0.9987437185929648,0.9979550102249489,0.9979591836734694,244,0,551,1
pklot,ufpr04,shufflenet,pklot,ufpr04_rainy,0.9987437185929648,0.9979633401221996,0.999092558983666,245,1,550,0
pklot,all,shufflenet,pklot,ufpr05,0.9987333373544846,0.9989133247089262,0.9987695196325684,9652,7,6906,14
pklot,ufpr05,shufflenet,pklot,ufpr05,0.9987333373544846,0.9989136619936889,0.9987077202519002,9655,10,6903,11
pklot,all_sunny,shufflenet,pklot,ufpr04_cloudy,0.9987306422949987,0.9978659837814767,0.997870528109029,1169,0,2765,5
pklot,all_sunny,shufflenet,pklot,ufpr05_sunny,0.9986985684252678,0.9988629406105134,0.9986855436083589,5710,6,4266,7
pklot,all_sunny,shufflenet,pklot,all,0.9986635242721237,0.9986181893823455,0.9986559997144183,33605,40,35888,53
pklot,all_sunny,mobilenet,pklot,all_sunny,0.9986367849937292,0.9986697882302863,0.9986319220386657,18769,28,17859,22
pklot,all_sunny,mobilenet,pklot,all,0.998634782858621,0.9985886827210197,0.998631920617567,33609,46,35882,49
pklot,all,shufflenet,pklot,ufpr04_sunny,0.9986324786324786,0.998766954377312,0.9987299958672214,3240,1,2602,7
pklot,ufpr04,mobilenet,pklot,ufpr04_sunny,0.9986324786324786,0.9987673343605546,0.9986918981095586,3241,2,2601,6
pklot,all,mobilenet,pklot,ufpr05,0.9986127028168165,0.9988100781209581,0.9986042648411824,9653,10,6903,13
pklot,ufpr05_cloudy,mobilenet,pklot,ufpr05_cloudy,0.9985957521502545,0.9988151658767772,0.9987484873965244,3372,1,2317,7
pklot,all_sunny,shufflenet,pklot,ufpr04,0.9985829003306566,0.9983841430572014,0.9983867498386749,4634,0,5936,15
pklot,ufpr04,shufflenet,pklot,ufpr04,0.998488427019367,0.9982784592210028,0.9984191090568706,4639,6,5930,10
pklot,ufpr04_sunny,shufflenet,pklot,ufpr04_sunny,0.9984615384615385,0.998613891883567,0.998461714297343,3242,4,2599,5
pklot,all,mobilenet,pklot,all_rainy,0.9983991995998,0.998734377471919,0.998108520552844,6313,11,3666,5
pklot,all_rainy,mobilenet,pklot,all_cloudy,0.9983852666492101,0.9978949763896,0.9984538146334021,8770,26,14107,11
pklot,all,mobilenet,pklot,ufpr05_sunny,0.9982981279407348,0.9985138561063029,0.9981877960730826,5711,11,4261,6
pklot,all_sunny,mobilenet,pklot,ufpr04_sunny,0.9982905982905983,0.9984577421344849,0.9984601170311056,3237,0,2603,10
pklot,all,shufflenet,pklot,all_rainy,0.9981990995497749,0.9985759493670886,0.9979502426167884,6311,11,3666,7
pklot,ufpr04,shufflenet,pklot,ufpr04_sunny,0.9981196581196581,0.9983043009095113,0.9982299332188903,3238,2,2601,9
pklot,ufpr05_sunny,mobilenet,pklot,ufpr05_sunny,0.9980979076984683,0.9983369803063458,0.9981903756062311,5703,5,4267,14
pklot,puc,shufflenet,pklot,puc_rainy,0.9980736816758969,0.9985606333213386,0.9974596666136286,5550,12,2740,4
pklot,all_rainy,mobilenet,pklot,puc_rainy,0.9979532867806405,0.9984705353126406,0.9973696414065706,5549,12,2740,5
pklot,all,shufflenet,pklot,puc_rainy,0.9979532867806405,0.9984705353126406,0.9973696414065706,5549,12,2740,5
pklot,puc,mobilenet,pklot,puc_rainy,0.9979532867806405,0.9984705353126406,0.9973696414065706,5549,12,2740,5
pklot,all_sunny,shufflenet,pklot,puc_rainy,0.997832891885384,0.9983804210905165,0.9972796161995126,5548,12,2740,6
pklot,all_cloudy,shufflenet,pklot,puc,0.9978313650614054,0.9976505439501506,0.9978366697639457,19533,51,22798,41
pklot,ufpr05,mobilenet,pklot,ufpr05,0.9977682610531395,0.9980875587946452,0.9975504802692589,9655,26,6887,11
pklot,all_rainy,mobilenet,pklot,ufpr05_rainy,0.9977603583426652,0.9983579638752053,0.9983606557377049,608,0,283,2
